feature,weight,importance
business_review_count_log,0.2817009706572889,0.2817009706572889
review_count_3m,0.2123794750902306,0.2123794750902306
business_is_open,-0.06313185896231639,0.06313185896231639
feedback_count_1m_log,0.05693307523600244,0.05693307523600244
review_count_1m,0.054300493089888754,0.054300493089888754
avg_user_account_age_days,0.04235629158634654,0.04235629158634654
avg_user_feedback_per_review,-0.0364333694908466,0.0364333694908466
avg_user_rating_volatility,-0.02760657265661509,0.02760657265661509
elite_user_ratio,-0.026365896437216523,0.026365896437216523
avg_user_avg_review_text_length,-0.024335721547007194,0.024335721547007194
avg_user_friend_count_log,-0.02018215919716658,0.02018215919716658
business_stars,0.011061589935008446,0.011061589935008446
avg_user_low_text_high_rating_ratio,0.009333516856047311,0.009333516856047311
business_latitude,-0.006649725256385665,0.006649725256385665
avg_user_popular_business_visit_ratio,0.005207300784104981,0.005207300784104981
avg_text_len_1m,-0.004727333872325198,0.004727333872325198
business_has_attributes,0.00420820950893572,0.00420820950893572
business_longitude,0.003321305170809215,0.003321305170809215
business_open_days,0.0030994419698155747,0.0030994419698155747
avg_user_monthly_review_rate,-0.002382766941801943,0.002382766941801943
avg_stars_1m,-0.0019007269527507582,0.0019007269527507582
avg_user_positive_rating_tendency,-0.0008808753285871513,0.0008808753285871513
business_category_count,-0.00018512821911049744,0.00018512821911049744
